,SearchTerm,BusinessName,PotentialRelatedCompany,UBINumber,BusinessId,Address,Status,Principals,isMatch,notes
0,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,"HPT TRS SPES II, INC.",602 355 559,236324,"255 WASHINGTON ST, TWO NEWTON PLACE, STE 300, NEWTON, MA, 02458-1634, UNITED STATES",Active,"['ADAM D. PORTNOY', 'BRIAN E. DONLEY', 'ETHAN S. BORNSTEIN', 'JENNIFER B. CLARK', 'JOHN G. MURRAY', 'TODD W. HARGREAVES']",,
1,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,"HPT TRS MRP, INC.",604 706 932,1425249,"225 WASHINGTON STREET, TWO NEWTON PLACE, SUITE 300, NEWTON, MA, 02458, UNITED STATES",Active,"['ADAM D PORTNOY', 'BRIAN E. DONLEY', 'JENNIFER B CLARK', 'JOHN G MURRAY', 'TODD W. HARGREAVES']",,
2,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,"HPT TRS IHG-2, INC.",603 179 870,749007,"255 WASHINGTON ST, 2 NEWTON PLACE, STE 300, NEWTON, MA, 02458-1634, UNITED STATES",Active,"['ADAM D. PORTNOY', 'BRIAN E. DONLEY', 'JENNIFER B. CLARK', 'JOHN G. MURRAY', 'TODD W. HARGREAVES']",,
3,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,603 181 390,740606,"255 WASHINGTON ST, TWO NEWTON PLACE, SUITE 300, NEWTON, MA, 02458-1634, UNITED STATES",Active,"['ADAM D. PORTNOY', 'BRIAN E. DONLEY', 'JENNIFER B. CLARK', 'JOHN G. MURRAY', 'TODD W. HARGREAVES']",,
4,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,"HPT CY TRS, INC.",603 254 641,743734,"TWO NEWTON PLACE, 255 WASHINGTON ST STE 300, NEWTON, MA, 02458, UNITED STATES",Active,"['ADAM D. PORTNOY', 'BRIAN E. DONLEY', 'JENNIFER B. CLARK', 'JOHN G. MURRAY', 'TODD W. HARGREAVES']",,
5,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,"WESTCOAST HOTEL PROPERTIES, INC.",601 094 723,1087102,"400 CENTRE ST, NEWTON, MA, 02458-2094, UNITED STATES",Active,"['JENNIFER B CLARK', 'JOHN G. MURRAY', 'STEPHEN P MIANO']",,
6,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,SVCN 5 LLC,603 411 803,981483,"255 WASHINGTON ST STE 2, NEWTON, MA, 02458-1637, UNITED STATES",Active,"['ADAM D. PORTNOY', 'JOHN G. MURRAY']",,
7,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,SVCN 1 LLC,602 524 002,946020,"255 WASHINGTON ST STE NEWTON, NEWTON, MA, 02458-1637, UNITED STATES",Active,"['ADAM D. PORTNOY', 'BRIAN E. DONLEY', 'CATHERINE LONG', 'JOHN G. MURRAY']",,
8,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,SVC ABS LLC,604 978 422,1601531,"255 WASHINGTON ST STE 300, NEWTON, MA, 02458-1634, UNITED STATES",Active,"['ADAM D. PORTNOY', 'JOHN G. MURRAY']",,
9,HPT IHG-2 PROPERTIES TRUST,HPT IHG-2 PROPERTIES TRUST,SONESTA RL HOTELS FRANCHISING INC.,601 043 993,399503,"400 CENTRE ST, NEWTON, MA, 02458-2094, UNITED STATES",Active,"['ADAM D. PORTNOY', 'JENNIFER B. CLARK', 'JOHN G. MURRAY', 'KEITH J PIERCE', 'STEPHEN P MIANO']",,
