Unnamed: 0,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match,isMatch
26,MADISON HOTEL LLC,MADISON HOTEL LLC,601 816 426,802731,"1700 7TH AVE STE 2300, SEATTLE, WA, 98101-1387, UNITED STATES",Active,False,False,False,1.0
27,SCD 2U LLC,SCD 2U LLC,603 490 488,965330,"389 INTERPACE PKWY, 5TH FLOOR, PARSIPPANY, NJ, 07054-1132, UNITED STATES",Active,False,False,False,1.0
28,PUBLIC STORAGE,PUBLIC STORAGE,602 740 958,392901,"701 WESTERN AVE, SUITE 200, GLENDALE, CA, 91201-2349, UNITED STATES",Active,False,False,False,1.0
29,POST ALLEY COURT APARTMENTS NW LLC,POST ALLEY COURT APARTMENTS NW LLC,602 313 631,885421,"7820 SW WILLOWMERE DR, PORTLAND, OR, 97225-1251, UNITED STATES",Active,False,False,False,1.0
30,PLYMOUTH HOUSING GROUP,PLYMOUTH HOUSING GROUP,600 471 736,379461,"2113 3RD AVE, SEATTLE, WA, 98121-2321, UNITED STATES",Active,False,False,False,1.0
31,DOWNTOWN EMERGENCY SERVICE CENTER,DOWNTOWN EMERGENCY SERVICE CENTER,601 142 394,155236,"515 3RD AVE, SEATTLE, WA, 98104-2304, UNITED STATES",Active,False,False,False,1.0
32,SMRE MARKETSIDE LLC,SMRE MARKETSIDE LLC,603 220 361,432541,"411 W PUTNAM AVE, STE 450, GREENWICH, CT, 06830-6290, UNITED STATES",Active,False,False,False,1.0
33,PR 1430 SECOND LLC,PR 1430 SECOND LLC,604 855 791,1526069,"655 BROAD STREET, 14TH FLOOR, NEWARK, NJ, 07102, UNITED STATES",Active,False,False,False,1.0
34,VIKTORIA SEATTLE LLC,VIKTORIA SEATTLE LLC,603 505 061,1037283,"10100 SANTA MONICA BOUELVARD SUITE 420, LOS ANGELES, CA, 90067, UNITED STATES",Active,False,False,False,1.0
35,SIXTH & PINE BUILDING LLC,SIXTH & PINE BUILDING LLC,602 815 703,430337,"217 PINE ST, #500, SEATTLE, WA, 98101-1590, UNITED STATES",Active,False,False,False,1.0
36,T-C ASPIRA LLC,T-C ASPIRA LLC,603 251 720,1050256,"730 3RD AVE, MS: 730/12/02, NEW YORK, NY, 10017, UNITED STATES",Active,False,False,False,1.0
37,1942 WESTLAKE LP,1942 WESTLAKE LP,604 488 643,1299203,"10900 NE 4TH ST STE 1440, BELLEVUE, WA, 98004-5873, UNITED STATES",Active,True,False,False,1.0
38,1200 HOWELL STREET LLC,1200 HOWELL STREET LLC,603 485 893,59014,"1924 1ST AVE STE 300, SEATTLE, WA, 98101-4802, UNITED STATES",Active,False,False,False,1.0
39,WASHINGTON STATE CONVENTION CENTER,WASHINGTON STATE CONVENTION CENTER,601 074 722,1075657,"800 CONVENTION PLACE, 5TH FLOOR, SEATTLE, WA, 98101, UNITED STATES",Administratively Dissolved,False,False,False,1.0
40,TARGET CORPORATION,TARGET CORPORATION,601 007 793,294338,"1000 NICOLLET MALL, MINNEAPOLIS, MN, 55403-2542, UNITED STATES",Active,True,False,False,1.0
41,FANA DOYLE LLC,FANA DOYLE LLC,603 228 327,173583,"10655 NE 4TH ST STE 700, BELLEVUE, WA, 98004-5039, UNITED STATES",Active,False,False,False,1.0
42,4&U COMMERCIAL LLC,4&U COMMERCIAL LLC,604 924 093,1570750,"1505 5TH AVE STE 600, SEATTLE, WA, 98101-1678, UNITED STATES",Active,False,False,False,1.0
43,4TH AVENUE BLDG LLC,4TH AVENUE BLDG LLC,604 065 660,95496,"11221 PACIFIC HWY SW, LAKEWOOD, WA, 98499-5170, UNITED STATES",Active,False,False,False,1.0
44,4TH AVENUE BLDG LLC,4TH AVENUE BLDG LLC,602 253 701,95495,,Administratively Dissolved,False,False,False,1.0
45,VIRGINIA STREET JOINT VENTURE LLC,VIRGINIA STREET JOINT VENTURE LLC,604 063 765,1082783,"2107 ELLIOTT AVE STE 303, SEATTLE, WA, 98121-2159, UNITED STATES",Active,False,False,False,1.0
46,1415 WESTERN LLC,1415 WESTERN LLC,603 397 806,762885,"4616 25TH AVE NE, #773, SEATTLE, WA, 98105-4183, UNITED STATES",Active,False,False,False,1.0
47,SEATTLE CHILDREN'S HOSPITAL,SEATTLE CHILDREN'S HOSPITAL,178 019 356,961369,"4800 SAND POINT WAY NE, SEATTLE, WA, 98105-3901, UNITED STATES",Active,True,False,False,1.0
48,TILT49 OFFICE DEVELOPERS LLC,TILT49 OFFICE DEVELOPERS LLC,603 497 884,509627,"1425 4TH AVE STE 200, SEATTLE, WA, 98101-2274, UNITED STATES",Withdrawn,False,False,False,1.0
49,WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,WESTERN OFFICE PORTFOLIO PROPERTY OWNER LLC,604 370 949,1250815,"1215 4TH AVE STE 600, SEATTLE, WA, 98161-1084, UNITED STATES",Active,False,False,False,1.0
50,URG PARK PLACE LLC,URG PARK PLACE LLC,604 527 666,1315026,"1425 4TH AVE STE 500, SEATTLE, WA, 98101-2264, UNITED STATES",Active,False,False,False,1.0
51,UNION SQUARE LIMITED LIABILITY COMPANY,UNION SQUARE LIMITED LIABILITY COMPANY,602 265 343,499278,"600 UNIVERSITY ST STE 2820, SEATTLE, WA, 98101-1184, UNITED STATES",Active,True,False,False,1.0
52,MSI POLL LLC,MSI POLL LLC,604 337 852,1234917,"316 OCCIDENTAL AVE S STE 300, SEATTLE, WA, 98104-4421, UNITED STATES",Active,False,False,False,1.0
53,PIKE STREET INVESTORS LLC,PIKE STREET INVESTORS LLC,602 325 768,376733,"10 STATE HOUSE SQ FL 15, HARTFORD, CT, 06103-3600, UNITED STATES",Active,False,False,False,1.0
54,BRICKMAN VANCE OWNER LLC,BRICKMAN VANCE OWNER LLC,604 189 238,574381,"399 PARK AVE, 18TH FLOOR, NEW YORK, NY, 10022, UNITED STATES",Active,False,False,False,1.0
55,GO-BRICKMAN MIKEN OWNER LLC,GO-BRICKMAN MIKEN OWNER LLC,604 336 381,1232340,"C/O BRICKMAN, ONCE GREENWICH OFFICE PARK, BUILDING 1N, SUITE 175, GREENWICH, CT, 06831, UNITED STATES",Active,False,False,False,1.0
56,JGB LLC,JGB LLC,602 743 791,793478,"1425 4TH AVE # 420, SEATTLE, WA, 98101, UNITED STATES",Active,False,False,False,1.0
57,LBA REALTY LLC,LBA REALTY LLC,602 610 453,788372,"3347 MICHELSON DR STE 200, IRVINE, CA, 92612-0687, UNITED STATES",Active,True,False,False,1.0
58,LCF DECATUR LLC,LCF DECATUR LLC,602 604 949,293211,"3100 80TH AVE NE, HUNTS POINT, WA, 98004-1012, UNITED STATES",Active,False,False,False,1.0
59,LOGAN BUILDING LLC,LOGAN BUILDING LLC,603 259 948,838793,"1215 4TH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",Active,False,False,False,1.0
60,BCAL MET PARK PROPERTY LLC,BCAL MET PARK PROPERTY LLC,604 316 300,1221990,"200 STATE STREET 5TH FLOOR, BOSTON, MA, 02109, UNITED STATES",Active,False,False,False,1.0
61,1800 NINTH ACQUISITION LLC,1800 NINTH ACQUISITION LLC,604 533 218,1322949,"383 MADISON AVE, NEW YORK, NY, 10017-3217, UNITED STATES",Active,False,False,False,1.0
62,BGO PLAZA 600 JV LLC,BGO PLAZA 600 JV LLC,604 537 878,1328392,"1425 4TH AVE STE 200, C/O URG PLAZA 600 INVESTORS LLC,, SEATTLE, WA, 98101, UNITED STATES",Active,False,False,False,1.0
63,TIMES SQUARE BUILDING LLC,TIMES SQUARE BUILDING LLC,601 893 912,1011985,"1809 7TH AVE STE 300, SEATTLE, WA, 98101-1341, UNITED STATES",Active,True,False,False,1.0
64,TOWER BUILDING LLC,TOWER BUILDING LLC,601 893 911,1062467,"1809 7TH AVE STE 300, SEATTLE, WA, 98101-1341, UNITED STATES",Active,True,False,False,1.0
65,FIFTH & PINE LLC,FIFTH & PINE LLC,602 452 775,176055,"2001 ROSS AVENUE, SUITE 3400, DALLAS, TX, 75201, UNITED STATES",Active,False,False,False,1.0
66,1821 BOREN AVENUE LLC,1821 BOREN AVENUE LLC,604 097 725,2130,"925 4TH AVE STE 3900, SEATTLE, WA, 98104-1113, UNITED STATES",Active,False,False,False,1.0
67,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,603 176 132,3642,"2801 ALASKAN WAY, SEATTLE, WA, 98121-1134, UNITED STATES",Withdrawn,False,False,False,1.0
68,ROOSEVELT HOTEL OWNER LLC,ROOSEVELT HOTEL OWNER LLC,603 440 553,952440,"1531 SEVENTH AVE, SEATTLE, WA, 98101, UNITED STATES",Active,False,False,False,1.0
69,101 PINE STREET LLC,101 PINE STREET LLC,604 101 710,1332,,,False,True,True,1.0
70,RUNNING REBELS OWNER LLC,RUNNING REBELS OWNER LLC,603 099 961,436138,"4747 BETHESDA AVENUE, SUITE 1100, BETHESDA, MD, 20814, UNITED STATES",Delinquent,False,False,False,1.0
71,101 DENNY LLC,101 DENNY LLC,603 370 372,3148,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,False,False,False,1.0
72,MIDTOWN21 LLC,MIDTOWN21 LLC,604 129 091,318280,"925 4TH AVE STE 3900, SEATTLE, WA, 98104-1113, UNITED STATES",Active,False,False,False,1.0
73,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,603 183 512,1093666,"410 TERRY AVENUE  NORTH, SEATTLE, WA, 98103, UNITED STATES",Active,False,False,False,1.0
0,SEATTLE INDIAN HEALTH BOARD,SEATTLE INDIAN HEALTH BOARD,600 440 936,962119,"611 12TH AVE S, SEATTLE, WA, 98144-2007, UNITED STATES",Active,False,False,False,
1,MSI PROVIDENT LLC,MSI PROVIDENT LLC,602 029 841,330835,"316 OCCIDENTAL AVE S, SUITE 300, SEATTLE, WA, 98104-4421, UNITED STATES",Active,False,False,False,
2,SOUND,SOUND,601 097 364,448085,"6400 SOUTHCENTER BLVD, TUKWILA, WA, 98188-2547, UNITED STATES",Active,False,True,True,
3,RAR 2501 LLC,RAR 2501 LLC,604 413 118,1268577,"3757 S RIDGEWAY PL, SEATTLE, WA, 98144-6211, UNITED STATES",Active,False,False,False,
4,AGC ARTHOUSE OWNER LLC,AGC ARTHOUSE OWNER LLC,604 811 933,1494233,"C/O ANGELO, GORDON & CO., L.P., 245 PARK AVENUE, 26TH FLOOR, NEW YORK, NY, 10167, UNITED STATES",Active,False,False,False,
5,CONCEPT ONE APARTMENTS LLC,CONCEPT ONE APARTMENTS LLC,603 392 633,85444,"4115 ROOSEVELT WAY NE, SEATTLE, WA, 98105, UNITED STATES",Administratively Dissolved,False,False,False,
6,CASTLE LLC,CASTLE LLC,604 019 399,96526,"801 2ND AVE STE 700, SEATTLE, WA, 98104-1573, UNITED STATES",Active,False,False,False,
7,2900 ON FIRST APARTMENTS LLC,2900 ON FIRST APARTMENTS LLC,604 936 688,1577983,"777 CALIFORNIA AVE STE 100, PALO ALTO, CA, 94304-1199, UNITED STATES",Active,False,False,False,
8,GRAHAM TERRY APARTMENTS LLC,GRAHAM TERRY APARTMENTS LLC,602 896 887,235415,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,False,False,False,
9,SUNSET APARTMENTS LIMITED PARTNERSHIP,SUNSET APARTMENTS LIMITED PARTNERSHIP,603 075 591,290372,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,True,False,False,
10,ELLIS COURT APARTMENTS LLC,ELLIS COURT APARTMENTS LLC,603 066 681,185080,"2801 ALASKAN WAY STE 310, SEATTLE, WA, 98121-1135, UNITED STATES",Active,False,False,False,
11,ALWAYS COMPETE LLC,ALWAYS COMPETE LLC,603 494 119,28912,"1200 WESTLAKE AVE N, SUITE 310, SEATTLE, WA, 98109-3528, UNITED STATES",Active,False,False,False,
12,CX3 DAVENPORT LLC,CX3 DAVENPORT LLC,604 263 023,1193106,"1620 BROADWAY ST, SEATTLE, WA, 98122, UNITED STATES",Active,False,False,False,
13,OREGON APARTMENTS LLC,OREGON APARTMENTS LLC,602 755 604,367225,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,False,False,False,
14,VINE COURT APARTMENTS LLC,VINE COURT APARTMENTS LLC,602 759 199,532406,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,False,False,False,
15,BREMER APARTMENTS LLC,BREMER APARTMENTS LLC,604 667 947,1401826,"1620 12TH AVE, STE 205, SEATTLE, WA, 98122-2568, UNITED STATES",Active,False,False,False,
16,2202 EIGHTH AVENUE LLC,2202 EIGHTH AVENUE LLC,603 550 293,63531,"1700 7TH AVE STE 1800, SEATTLE, WA, 98101, UNITED STATES",Active,False,False,False,
17,WA TOWER 12 APARTMENTS LLC,WA TOWER 12 APARTMENTS LLC,604 172 610,512610,"9757 NE JUANITA DR STE 300, KIRKLAND, WA, 98034-4291, UNITED STATES",Active,False,False,False,
18,WINDSOR ADVISERS 2030 EIGHTH AVENUE LLC,WINDSOR ADVISERS 2030 EIGHTH AVENUE LLC,604 200 365,1170073,"125 HIGH STREET, HIGH STREET TOWER, 27TH FLOOR, BOSTON, MA, 02110, UNITED STATES",Active,False,False,False,
19,NINTH AND LENORA LLC,NINTH AND LENORA LLC,603 427 336,855687,"125 HIGH STREET, HIGH STREET TOWER, 27TH FLOOR, BOSTON, MA, 02110, UNITED STATES",Active,False,False,False,
20,RISE-CG JA LOFTS LIMITED PARTNERSHIP,RISE-CG JA LOFTS LIMITED PARTNERSHIP,604 523 841,1314594,"1518 1ST AVE S STE 500, SEATTLE, WA, 98134-1456, UNITED STATES",Active,False,False,False,
21,SECURITY HOUSE LLLP,SECURITY HOUSE LLLP,603 613 857,419522,"433 MINOR AVE N, SEATTLE, WA, 98109-5439, UNITED STATES",Active,True,False,False,
22,2001 SIXTH LLC,2001 SIXTH LLC,602 745 341,2678,"1700 7TH AVE STE 1800, SEATTLE, WA, 98101, UNITED STATES",Active,True,False,False,
23,WRI 2200 WESTLAKE LP,WRI 2200 WESTLAKE LP,603 587 485,528804,"500 N BROADWAY, SUITE 201, JERICHO, NY, 11753, UNITED STATES",Active,False,False,False,
24,BCAL 3005 PROPERTY LLC,BCAL 3005 PROPERTY LLC,604 658 165,1387779,"200 STATE ST STE 5, BOSTON, MA, 02109-2628, UNITED STATES",Active,False,False,False,
25,900 VIRGINIA STREET LLC,900 VIRGINIA STREET LLC,602 772 541,8082,"2015 TERRY AVE APT 309, SEATTLE, WA, 98121-2745, UNITED STATES",Active,False,False,False,
26,CORNISH COLLEGE OF THE ARTS,CORNISH COLLEGE OF THE ARTS,600 178 881,112111,"1000 LENORA ST, SEATTLE, WA, 98121-2951, UNITED STATES",Active,False,False,False,
27,BELLTOWN ON FIRST LIMITED PARTNERSHIP,BELLTOWN ON FIRST LIMITED PARTNERSHIP,604 865 694,1534711,"1201 838 W HASTINGS ST, VANCOUVER, BC, V6C 0A6, CANADA",Active,False,False,False,
28,GREAT LAKE INVESTMENT CORPORATION,GREAT LAKE INVESTMENT CORPORATION,603 433 108,238226,"11900 NE 1ST ST, STE 300 RM 3094, BELLEVUE, WA, 98005-3049, UNITED STATES",Active,False,False,False,
29,2020 FIFTH HOLDINGS LLC,2020 FIFTH HOLDINGS LLC,604 314 880,1223363,"1700 7TH AVE STE 1800, SEATTLE, WA, 98101-1312, UNITED STATES",Active,False,False,False,
30,TOUCHSTONE WEST 8TH BUILDING LLC,TOUCHSTONE WEST 8TH BUILDING LLC,602 656 991,1157800,"7 GIRALDA FARMS, 3RD FLOOR, MADISON, NJ, 07940, UNITED STATES",Voluntarily Dissolved,False,False,False,
31,SREH 2018 HOLDINGS LLC,SREH 2018 HOLDINGS LLC,604 433 468,1275297,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False,
32,TRIANON LLC,TRIANON LLC,601 984 474,505811,"4223 12TH AVE NE, SEATTLE, WA, 98105-5901, UNITED STATES",Active,False,False,False,
33,BIT BCAL BLANCHARD PROPERTY LLC,BIT BCAL BLANCHARD PROPERTY LLC,604 361 055,1247272,"200 STATE ST, 5TH FLOOR, BOSTON, MA, 02109, UNITED STATES",Active,False,False,False,
34,UCP 2401 ELLIOTT LLC,UCP 2401 ELLIOTT LLC,604 166 835,1024485,"1215 FOURTH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",Active,False,False,False,
35,VIRGINIA STREET REIT LLC,VIRGINIA STREET REIT LLC,603 425 160,1066574,"1215 4TH AVE #2400, SEATTLE, WA, 98161, UNITED STATES",Voluntarily Dissolved,False,False,False,
36,2601 ELLIOTT OWNER LLC,2601 ELLIOTT OWNER LLC,604 767 289,1466481,"235 MONTGOMERY ST FL 15, SAN FRANCISCO, CA, 94104-3102, UNITED STATES",Active,False,False,False,
37,SREH 2018 MANAGEMENT LLC,SREH 2018 MANAGEMENT LLC,604 433 466,1275295,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False,
38,88 VINE LLC,88 VINE LLC,604 638 328,1374207,"1000 2ND AVE STE 1800, SEATTLE, WA, 98104-3619, UNITED STATES",Active,False,False,False,
39,PALLADIAN HOTEL LLC,PALLADIAN HOTEL LLC,604 281 143,1207593,"2000 2ND AVE, SEATTLE, WA, 98121-2234, UNITED STATES",Active,False,False,False,
40,PALLADIAN HOTEL LLC,PALLADIAN HOTEL LLC,604 247 091,1195770,,,False,True,True,
41,DREAM LEGACY PRU SPE LLC,DREAM LEGACY PRU SPE LLC,603 538 073,1110497,"155 108TH AVE NE STE 500, BELLEVUE, WA, 98004-5901, UNITED STATES",Active,True,False,False,
42,UNICO BOP KORN WALKER LLC,UNICO BOP KORN WALKER LLC,604 509 326,1310047,"1215 FOURTH AVENUE, SUITE 600, SEATTLE, WA, 98161, UNITED STATES",Active,False,False,False,
43,IBORROW 201 1ST AVENUE OWNER LLC,IBORROW 201 1ST AVENUE OWNER LLC,604 506 135,1308422,"12100 WILSHIRE BLVD STE 510, LOS ANGELES, CA, 90025-7139, UNITED STATES",Terminated,False,False,False,
44,LOUISA HOTEL REDEVELOPMENT LLC,LOUISA HOTEL REDEVELOPMENT LLC,604 163 166,308563,"1414 31ST AVE S STE 300, SEATTLE, WA, 98144-3955, UNITED STATES",Active,False,False,False,
45,HANA PLACE SEATTLE LLC,HANA PLACE SEATTLE LLC,604 429 817,1271799,"701 5TH AVE STE 5700, SEATTLE, WA, 98104-7014, UNITED STATES",Active,False,False,False,
46,DA LI INTERNATIONAL LLC,DA LI INTERNATIONAL LLC,603 592 405,649974,"450 S MAIN ST STE 168, SEATTLE, WA, 98104-5172, UNITED STATES",Active,True,False,False,
47,HONG KONG BUILDING LLC,HONG KONG BUILDING LLC,602 299 720,729854,"4223 12TH AVE NE, SEATTLE, WA, 98105-5901, UNITED STATES",Active,False,False,False,
48,MILWAUKEE LLC,MILWAUKEE LLC,602 298 896,207610,"668 S KING ST, SEATTLE, WA, 98104, UNITED STATES",Active,False,False,False,
49,MAIN STREET INTERIM LLC,MAIN STREET INTERIM LLC,602 355 440,315546,"409 MAYNARD AVE S, SUITE P2, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,False,False,False,
50,FAIRFIELD WASHINGTON TERRACE LP,FAIRFIELD WASHINGTON TERRACE LP,604 530 063,1321455,"5355 MIRA SORRENTO PL, SUITE 100, SAN DIEGO, CA, 92121-3803, UNITED STATES",Active,False,False,False,
51,ALPS HOTEL LLC,ALPS HOTEL LLC,602 294 041,538964,"621 S KING ST, SEATTLE, WA, 98104-2943, UNITED STATES",Active,False,False,False,
52,INTERNATIONAL HOUSE APARTMENTS LLC,INTERNATIONAL HOUSE APARTMENTS LLC,604 109 108,237451,"30 HUDSON YARDS, 72ND FL, NEW YORK, NY, 10001-2170, UNITED STATES",Active,False,False,False,
53,ASCONA SEATTLE LLC,ASCONA SEATTLE LLC,604 167 691,41977,"801 2ND AVE STE 700, SEATTLE, WA, 98104-1573, UNITED STATES",Active,False,False,False,
54,GRE DOWNTOWNER LLC,GRE DOWNTOWNER LLC,603 044 709,206128,"2801 ALASKAN WAY STE 310, SEATTLE, WA, 98121-1135, UNITED STATES",Active,True,False,False,
55,OK HOTEL APARTMENTS LLC,OK HOTEL APARTMENTS LLC,604 826 163,1507726,"300 LENORA ST # 246, SEATTLE, WA, 98121-2411, UNITED STATES",Active,False,False,False,
56,SUSTAINABLE URBAN DEVELOPMENT #1 LLC,SUSTAINABLE URBAN DEVELOPMENT #1 LLC,602 383 985,1001361,"816 2ND AVE STE 300, SEATTLE, WA, 98104-1534, UNITED STATES",Administratively Dissolved,False,False,False,
57,CRE 315 MAYNARD LLC,CRE 315 MAYNARD LLC,604 247 595,1200900,"2930 WESTLAKE AVE N, STE100, SEATTLE, WA, 98109-1968, UNITED STATES",Active,False,False,False,
58,CAI SUNLIGHT PROPERTIES LLC,CAI SUNLIGHT PROPERTIES LLC,604 765 156,1465552,"8411 MAPLE LANE, MERCER ISLAND, WA, 98040, UNITED STATES",Active,False,False,False,
59,GOVERNOR BUILDING LLC,GOVERNOR BUILDING LLC,602 636 059,235085,"1200 WESTLAKE AVE N STE 608, SEATTLE, WA, 98109-3529, UNITED STATES",Active,False,False,False,
60,S-QOZB LLC,S-QOZB LLC,604 387 188,1257707,"701 5TH AVE STE 6400, SEATTLE, WA, 98104-7100, UNITED STATES",Active,False,False,False,
61,GEE HOW OAK TIN FOUNDATION,GEE HOW OAK TIN FOUNDATION,601 115 612,708289,"519 7TH AVE S, SEATTLE, WA, 98104-2971, UNITED STATES",Active,False,False,False,
62,CRE HH PARTNERS LLC,CRE HH PARTNERS LLC,604 830 699,1514341,"2930 WESTLAKE AVE N STE 100, SEATTLE, WA, 98109-1968, UNITED STATES",Active,False,False,False,
63,223 YESLER LLLP,223 YESLER LLLP,604 269 683,1197255,"1253 S JACKSON ST STE A, SEATTLE, WA, 98144-3075, UNITED STATES",Active,True,False,False,
