,SearchTerm,BusinessName,PotentialRelatedCompany,UBINumber,BusinessId,Address,Status,Principals,isMatch,notes
0,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"WALDENBOOKS TEAMED WITH AMAZON.COM, INC.",602 224 728,511053,,Terminated,"['MICHAEL DEAL', 'RICHARD J PREM']",,
1,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"PLANETALL.COM, INC.",601 904 692,242313,,Terminated,"['BARBARA WORLEIN', 'JONI BERGER', 'MICHAEL DEAL', 'REBECCA WATT', 'RICHARD PREM', 'STEPHEN BISHOP']",,
2,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,ON-DEMAND PUBLISHING LLC,602 722 065,880648,"7290B INVESTMENT DR, NORTH CHARLESTON, SC, 29418-8305, UNITED STATES",Active,"['ENERINO CARCUCCIO', 'JONI BERGER', 'MICHAEL DEAL']",,
3,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"INTAGLIO CONTROLLING, INC.",602 078 986,236065,,Terminated,"['DEBRA SELLAND', 'LAURA MACPHERSON', 'LILY SHUI-LEWIS', 'MICHAEL DEAL', 'RICHARD DALZELL', 'RUSSELL GRANDINETTI']",,
4,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,IMMEDIA SEMICONDUCTOR LLC,604 256 038,1208827,"410 TERRY AVE N, SEATTLE, WA, 98109-5210, UNITED STATES",Active,"['JAMIE SIMINOFF', 'MICHAEL DEAL', 'TONY MASONE']",,
5,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"IMDB.COM, INC.",602 787 599,241283,"410 TERRY AVE N, SEATTLE, WA, 98109-5210, UNITED STATES",Active,"['ANTONIO MASONE', 'BRIAN CARVER', 'MICHAEL DEAL']",,
6,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"DEAL MEDIA GROUP, LLC",604 854 739,1522389,"8821 S 117TH ST APT C, SEATTLE, WA, 98178-4027, UNITED STATES",Delinquent,"['MICHAEL DEAL', 'MICHAEL DEAL']",,
7,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"CVCORP HOLDINGS, INC.",602 772 276,637409,"1200 12TH AVE S STE 1200, SEATTLE, WA, 98144, UNITED STATES",Terminated,"['JASON BRISTOW', 'JESSICA H SCHNELLER', 'KURT ZUMWALT', 'LESLIE TIM', 'MICHAEL DEAL', 'RICHARD PREM', 'STEVE FRAZIER', 'ZANONI MICHAEL']",,
8,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"BORDERS TEAMED WITH AMAZON.COM, INC.",602 136 184,69726,,Terminated,"['MICHAEL D DEAL', 'MICHAEL DEAL', 'RICHARD J PREM', 'RICHARD PREM']",,
9,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,AMAZONLOCAL LLC,603 123 821,543602,"410 TERRY AVE N, SEATTLE, WA, 98109, UNITED STATES",Withdrawn,"['ENERINO CARCUCCIO', 'KURT H ZUMWALT', 'MICHAEL DEAL']",,
10,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"AMAZON STUDIOS, LLC",602 507 093,26472,"9300 CULVER BOULEVARD, CULVER CITY, CA, 90232, UNITED STATES",Active,"['AMAZON CONTENT SERVICES LLC', 'GIRISH BAJAJ', 'MICHAEL DEAL', 'TONY MASONE']",,
11,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"AMAZON MECHANICAL TURK, INC.",602 551 095,545778,"410 TERRY AVE N, SEATTLE, WA, 98109-5210, UNITED STATES",Active,"['ANTONIO MASONE', 'BOB KIMBALL', 'BRATIN SAHA', 'CHRISTINE LEE', 'MICHAEL DEAL']",,
12,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,AMAZON GLOBAL RESOURCES LLC,602 136 772,1095464,"2021 7TH AVE, SEATTLE, WA, 98121, UNITED STATES",Withdrawn,"['MICHAEL DEAL', 'SCOTT FARRINGTON']",,
13,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,603 183 512,1093666,"410 TERRY AVENUE  NORTH, SEATTLE, WA, 98103, UNITED STATES",Active,"['JOHN SCHOETTLER', 'KURT LAMP', 'MICHAEL DEAL']",,
14,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,ACI GIFT CARDS LLC,602 725 367,20112,"410 TERRY AVE N, SEATTLE, WA, 98109, UNITED STATES",Active,"['MAX BARDON', 'MICHAEL DEAL', 'NICK BRAATEN']",,
15,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,QUIDSI LLC,603 103 169,414539,"10 EXCHANGE PL 25TH FL, JERSEY CITY, NJ, 07302, UNITED STATES",Withdrawn,"['KRIS BECKER', 'KURT LAMP', 'MARK F HOFFMAN', 'SEAN PATTERSON']",,
16,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,LAMP ESTATES LLC,603 298 023,1128170,"12640 NE 35TH PL, BELLEVUE, WA, 98005-1372, UNITED STATES",Administratively Dissolved,"[' KURT LAMP', ' TAMI LAMP', 'KURT LAMP', 'TAMI LAMP']",,
17,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"AMAZON WEB SERVICES, INC.",602 619 955,23742,"410 TERRY AVE N, SEATTLE, WA, 98109-5210, UNITED STATES",Active,"['ADAM SELIPSKY', 'BEN GAFFNEY', 'BOB KIMBALL', 'DAVID ZAPOLSKY', 'JONI BERGER', 'KURT LAMP', 'PETER DESANTIS', 'RICHARD PUCCIO']",,
18,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,AMAZON SERVICES INTERNATIONAL LLC,602 340 309,534873,"410 TERRY AVE N, SEATTLE, WA, 98109-5210, UNITED STATES",Active,"['AARON MCGRATH', 'DAVID NAGGAR', 'KURT LAMP']",,
19,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,ALEXA INTERNET,603 080 007,534492,"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109, UNITED STATES",Active,"['ANDREW RAMM', 'ANTONIO MASONE', 'KURT LAMP', 'MARK HOFFMAN']",,
20,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,"6PM.COM, LLC",603 129 249,119035,"400 E. STEWART AVENUE, LAS VEGAS, NV, 89101-2913, UNITED STATES",Merged,"['GAYLE TAGAWA', 'KRISTIN BECKER', 'KURT LAMP', 'MARK HOFFMAN']",,
21,ACORN DEVELOPMENT LLC,ACORN DEVELOPMENT LLC,SEATTLE CHILDREN'S HOSPITAL,178 019 356,961369,"4800 SAND POINT WAY NE, SEATTLE, WA, 98105-3901, UNITED STATES",Active,"['COLIN FOX', 'COLLEEN FUKUI-SKETCHLEY', 'CONAN VIERNES', 'DAN LEVITAN', 'JILL BRUBAKER', 'JOEL FRENCH', 'JOHN SCHOETTLER', 'JUDITH PIERCE', 'KEN DENMAN', 'KURT SHINTAFFER', 'LOREN ALHADEFF', 'MOYA VASQUEZ', 'PATRICIA LOERA', 'RACQUEL RUSSELL', 'SUSAN BETCHER', 'TROY HUTSON']",,
22,MIDTOWN21 LLC,MIDTOWN21 LLC,MIDTOWN21 LLC,604 129 091,318280,"925 4TH AVE STE 3900, SEATTLE, WA, 98104-1113, UNITED STATES",Active,"['ANDREAS FISCHER', 'BEAU AUGUST', 'MATTHEW ARNOLDY', 'STUART GORDON']",,
23,MIDTOWN21 LLC,MIDTOWN21 LLC,NAHWATZEL CABIN LLC,604 471 980,1288234,"3211 S 194TH ST, SEATAC, WA, 98188-5352, UNITED STATES",Active,"['BEAU AUGUST', 'BEAU AUGUST']",,
24,MIDTOWN21 LLC,MIDTOWN21 LLC,"GORDON REES SCULLY MANSUKHANI, LLP",602 845 396,730686,"275 BATTERY ST, SUITE 2000, SAN FRANCISCO, CA, 94111-3367, UNITED STATES",Active,"['DION COMINOS', 'STUART GORDON']",,
25,MIDTOWN21 LLC,MIDTOWN21 LLC,1821 BOREN AVENUE LLC,604 097 725,2130,"925 4TH AVE STE 3900, SEATTLE, WA, 98104-1113, UNITED STATES",Active,"['ANDREA GRIGG', 'ANDREAS FISCHER']",,
26,101 DENNY LLC,101 DENNY LLC,WAVERLY 8 LLC,603 319 231,1086362,"506 2ND AVE SUITE 1020, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,['TYLER CARR'],,
27,101 DENNY LLC,101 DENNY LLC,TYLER N CARR LLC,604 509 585,1309462,"16604 N NEVADA CT, SPOKANE, WA, 99208-7514, UNITED STATES",Administratively Dissolved,"['ERNEST DRIVER', 'ERNEST DRIVER', 'TYLER CARR', 'TYLER CARR', 'TYLER N CARR LLC', 'TYLER N CARR LLC']",,
28,101 DENNY LLC,101 DENNY LLC,"SUMMIT PARTNERS, LLC",604 141 824,289195,"506 SECOND AVENUE STE 1020, SEATTLE, WA, 98104, UNITED STATES",Active,['TYLER CARR'],,
29,101 DENNY LLC,101 DENNY LLC,SEAVIEW LIVE/WORK LLC,603 093 925,964298,"5037 NE LAURELCREST LN., SEATTLE, WA, 98105, UNITED STATES",Administratively Dissolved,"[' MB1 INVESTMENTS, LLC', 'NANCY CARR', 'TYLER CARR']",,
30,101 DENNY LLC,101 DENNY LLC,PIKE FLATS LLC,603 504 648,1141188,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,['TYLER CARR'],,
31,101 DENNY LLC,101 DENNY LLC,PHINNEY FLATS LLC,603 504 646,877843,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,['TYLER CARR'],,
32,101 DENNY LLC,101 DENNY LLC,NW PROPERTY GROUP LLC,603 060 503,361031,,Administratively Dissolved,['TYLER CARR'],,
33,101 DENNY LLC,101 DENNY LLC,NCS DEVELOPMENT LLC,602 667 208,345080,"1814 31ST AVE, SEATTLE, WA, 98122, UNITED STATES",Inactive,"['MATTHEW SINKULA', 'TAYLOR NOREN', 'TYLER CARR']",,
34,101 DENNY LLC,101 DENNY LLC,MAD FLATS LLC,603 279 724,801620,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,['TYLER CARR'],,
35,101 DENNY LLC,101 DENNY LLC,"JOHNSON & CARR, INC.",603 099 974,774218,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['KELTEN JOHNSON', 'TYLER CARR']",,
36,101 DENNY LLC,101 DENNY LLC,"JOHNSON & CARR DEVELOPMENT, INC.",603 404 110,776744,,Administratively Dissolved,"['KELTEN JOHNSON', 'TYLER CARR']",,
37,101 DENNY LLC,101 DENNY LLC,"JOHNSON & CARR 111 21ST, LLC",603 588 612,798560,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Voluntarily Dissolved,"['KELTEN JOHNSON', 'PATRICK MORAN', 'TYLER CARR']",,
38,101 DENNY LLC,101 DENNY LLC,"EASTLAKE FLATS, LLC",603 439 496,138245,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,['TYLER CARR'],,
39,101 DENNY LLC,101 DENNY LLC,CAPITOL HILL DEVELOPMENT PARTNERS LLC,602 820 122,87747,"3635 23RD AVE W, SEATTLE, WA, 98199, UNITED STATES",Inactive,"['MATT SINKULA', 'TAYLOR NOREN', 'TYLER CARR']",,
40,101 DENNY LLC,101 DENNY LLC,BALLARD MODERN COMPANY LLC,602 829 722,560720,"3635 23RD AVE W, SEATTLE, WA, 98199, UNITED STATES",Inactive,"['MATT SINKULA', 'TAYLOR NOREN', 'TYLER CARR']",,
41,101 DENNY LLC,101 DENNY LLC,ADAPTIVE INSPECTIONS LLC,604 666 488,1403782,"17126 SNOWBELL CT SE, YELM, WA, 98597-9730, UNITED STATES",Administratively Dissolved,"['TYLER CARR', 'TYLER CARR']",,
42,101 DENNY LLC,101 DENNY LLC,420 BOYLSTON AVE E LLC,604 297 638,1218889,"506 2ND AVE STE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['KELTEN JOHNSON', 'PATRICK M MORAN', 'TYLER CARR']",,
43,101 DENNY LLC,101 DENNY LLC,"2510 NE 65TH, LLC",603 255 854,3532,"1817 12TH AVE, SEATTLE, WA, 98122, UNITED STATES",Administratively Dissolved,"['KELTEN JOHNSON', 'TYLER CARR']",,
44,101 DENNY LLC,101 DENNY LLC,228 106TH PL NE LLC,604 668 819,1398682,"506 2ND AVE STE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['KELTEN JOHNSON', 'PATRICK M. MORAN', 'TYLER CARR']",,
45,101 DENNY LLC,101 DENNY LLC,"220 10TH AVE, LLC",603 164 244,63528,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Delinquent,['TYLER CARR'],,
46,101 DENNY LLC,101 DENNY LLC,2120 152ND AVE NE LLC,604 898 900,1547288,"506 2ND AVE STE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['JONAS JONSSON', 'KELTON JOHNSON', 'LARS JONSON', 'PATRICK M. MORAN', 'TYLER CARR']",,
47,101 DENNY LLC,101 DENNY LLC,"1715 12TH AVE., LLC",603 484 793,3525,"506 2ND AVE STE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['DEAN JASPER', 'KELTEN JOHNSON', 'PATRICK MORAN', 'TYLER CARR']",,
48,101 DENNY LLC,101 DENNY LLC,"1706-1708 ALKI AVE SW, LLC",603 519 825,61103,"506 2ND AVENUE # 1020, SEATTLE, WA, 98104, UNITED STATES",Administratively Dissolved,"['KELTEN JOHNSON', 'TYLER CARR']",,
49,101 DENNY LLC,101 DENNY LLC,165 S WASHINGTON QOF LLC,604 553 285,1395644,"506 2ND AVE STE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['KELTEN JOHNSON', 'PATRICK M. MORAN', 'TYLER CARR']",,
50,101 DENNY LLC,101 DENNY LLC,165 S WASHINGTON LLC,604 553 858,1395635,"506 2ND AVE STE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,"['KELTEN JOHNSON', 'PATRICK M MORAN', 'TYLER CARR']",,
51,101 DENNY LLC,101 DENNY LLC,111 21ST AVE E LLC,603 567 057,2044,"506 2ND AVE #1020, SEATTLE, WA, 98104, UNITED STATES",Voluntarily Dissolved,['TYLER CARR'],,
52,101 DENNY LLC,101 DENNY LLC,101 DENNY LLC,603 370 372,3148,"506 2ND AVE, SUITE 1020, SEATTLE, WA, 98104-2328, UNITED STATES",Active,['TYLER CARR'],,
53,RUNNING REBELS OWNER LLC,RUNNING REBELS OWNER LLC,WOLFPACK OWNER LLC,603 215 477,525626,"4747 BETHESDA AVENUE,, SUITE 1100, BETHESDA, MD, 20814, UNITED STATES",Active,"['PEBBLEBROOK HOTEL, L.P.']",,
54,RUNNING REBELS OWNER LLC,RUNNING REBELS OWNER LLC,TERRAPINS OWNER LLC,603 050 136,1061304,"4747 BETHESDA AVENUE, SUITE 1100, BETHESDA, MD, 20814, UNITED STATES",Active,"['PEBBLEBROOK HOTEL, L.P.']",,
55,RUNNING REBELS OWNER LLC,RUNNING REBELS OWNER LLC,RUNNING REBELS OWNER LLC,603 099 961,436138,"4747 BETHESDA AVENUE, SUITE 1100, BETHESDA, MD, 20814, UNITED STATES",Delinquent,"['PEBBLEBROOK HOTEL, L.P.']",,
56,RUNNING REBELS OWNER LLC,RUNNING REBELS OWNER LLC,RUNNING REBELS LESSEE LLC,603 099 947,1146846,"4747 BETHESDA AVENUE, SUITE 1100, BETHESDA, MD, 20814, UNITED STATES",Active,"['PEBBLEBROOK HOTEL, L.P.']",,
57,101 PINE STREET LLC,101 PINE STREET LLC,"101 PINE STREET, LLC",604 101 710,1332,"177 E COLORADO BLVD STE 400, PASADENA, CA, 91105-1970, UNITED STATES",Terminated,['PALIHOTEL SEATTLE LLC'],,
58,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,TRI-CITIES CHAPTER OF EXPERIMENTAL AIRCRAFT ASSOCIATION,601 798 257,1077373,"353 DRIFTWOOD CT, RICHLAND, WA, 99354, UNITED STATES",Administratively Dissolved,"['CRAIG COOPER', 'KEVIN LANE', 'PAUL KELLER']",,
59,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,"TERRY AVENUE APARTMENTS, LLC",602 669 341,466184,"304 S BROADWAY STE 400, LOS ANGELES, CA, 90013, UNITED STATES",Terminated,"['DANA TAYLOR', 'MATTHEW BURTON', 'PAUL KELLER', 'RON MERRIT']",,
60,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,PUGET SOUND REGIONAL GROUP NO. 18 OF THE EARLY FORD V-8 CLUBOF AMERICA,601 550 517,950790,"7319 126TH AVE NE, KIRKLAND, WA, 98033-8323, UNITED STATES",Active,"['MARY LAMKEN', 'MICHAEL REES', 'PAUL KELLER', 'ROBERT MERZ']",,
61,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,"PROFESSIONAL COMPLEMENTARY HEALTH FORMULAS, LLC",602 942 853,905919,"11900 NE 1ST ST, SUITE 300, BELLEVUE, WA, 98005-3049, UNITED STATES",Active,"['MIKE GRUBB', 'PAUL KELLER']",,
62,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,"PACIFIC PARTNER PROPERTIES, LLC",602 946 442,919277,"11900 NE 1ST ST, SUITE 300, BELLEVUE, WA, 98005-3049, UNITED STATES",Active,"['MIKE GRUBB', 'PAUL KELLER', 'PAUL KELLER']",,
63,1915 SECOND AVENUE LLC,1915 SECOND AVENUE LLC,"PACIFIC PARTNER INVESTMENTS, LLC",604 057 648,372731,"11900 NE 1ST ST # 300, BELLEVUE, WA, 98005, UNITED STATES",Administratively Dissolved,"['MIKE GRUBB', 'PAUL KELLER']",,
