,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,HH SEATTLE LLC,BAAL VIKASH HINDI ACADEMY OF SEATTLE,604 590 825,1347485,"12230 SE 196TH ST, KENT, WA, 98031-0517, UNITED STATES",Administratively Dissolved,False,False,False
1,HH SEATTLE LLC,"CHHJ SEATTLE, LLC",604 190 746,1164749,"4229 W MARGINAL WAY SW, SEATTLE, WA, 98106-1211, UNITED STATES",Active,False,False,False
2,HH SEATTLE LLC,"H H - SEATTLE, LLC",602 719 354,728282,"6100 NEIL RD #500, RENO, NV, 89511, UNITED STATES",Terminated,False,False,False
3,HH SEATTLE LLC,"HH HOME CARE SEATTLE, LLC",604 388 384,1257014,"20514 127TH AVE. SE, SNOHOMISH, WA, 98296, UNITED STATES",Administratively Dissolved,False,False,False
4,HH SEATTLE LLC,HH SEATTLE CITY GLASS LLC,605 116 857,1643727,"11728 AURORA AVE N, SEATTLE, WA, 98133-8254, UNITED STATES",Active,False,False,False
5,HH SEATTLE LLC,HH SEATTLE MEZZ BORROWER LLC,603 366 890,739389,"14205 SE 36TH ST STE 143, BELLEVUE, WA, 98006-1596, UNITED STATES",Active,True,False,False
6,HH SEATTLE LLC,"HHLP SEATTLE ASSOCIATES, LLC",604 088 718,750755,"44 HERSHA DR, HARRISBURG, PA, 17102-2241, UNITED STATES",Withdrawn,False,False,False
7,HH SEATTLE LLC,"HHLP SEATTLE LESSEE, LLC",604 087 361,739466,"44 HERSHA DRIVE, HARRISBURG, PA, 17102, UNITED STATES",Withdrawn,False,False,False
8,HH SEATTLE LLC,"MH HTSEATTLE, LLC",604 767 499,1470328,"1800 WAZEE ST, #200, DENVER, CO, 80202-2526, UNITED STATES",Active,False,False,False
9,HH SEATTLE LLC,TRUONG SINH HOC - SEATTLE,603 116 376,1020687,"212 NE 180TH ST, SHORELINE, WA, 98155, UNITED STATES",Voluntarily Dissolved,False,False,False
