,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,FNA INVESTMENTS LLC,POWER OF NATURE INVESTMENTS INC,603 464 655,914000,"1864 JOURNEY'S END LN, CAMANO ISLAND, WA, 98282, UNITED STATES",Administratively Dissolved,False,False,False
1,COMMODORE II LLC,COMMODORE WAY II LLC,604 337 410,1234178,"3026 44TH AVE W, SEATTLE, WA, 98199-2402, UNITED STATES",Active,False,False,False
2,COMMODORE II LLC,COMMODORE WEST DIVISION II HOMEOWNERS ASSOCIATION,602 771 947,617384,"9442 NE CORAL CT, BAINBRIDGE ISLAND, WA, 98110, UNITED STATES",Administratively Dissolved,False,False,False
3,WESTSIDE SCHOOL,WESTSIDE COOPERATIVE PRESCHOOL,601 132 738,1087834,"202 DELPHI RD SW, OLYMPIA, WA, 98502-9462, UNITED STATES",Active,False,False,False
4,JEFFERSON PARK LLC,JEFFERSON DAVIS PARK,602 742 828,770243,"24024 NW MAPLECREST RD, RIDGEFIELD, WA, 98642, UNITED STATES",Administratively Dissolved,False,False,False
5,JEFFERSON PARK LLC,"JEFFERSON PARK LAWN BOWLING CLUB, INC.",601 863 726,767634,"PO BOX 257, OLYMPIA, WA, 98507-0257, UNITED STATES",Active,False,False,False
6,JEFFERSON PARK LLC,JEFFERSON PARK PROPERTIES LLC,604 111 212,769280,"601 UNION ST STE 2600, SEATTLE, WA, 98101-2302, UNITED STATES",Active,False,False,False
7,JEFFERSON PARK LLC,"JEFFERSON PARK REALTY, INC",604 040 084,262018,"2107 21ST AVE S, SEATTLE, WA, 98144, UNITED STATES",Administratively Dissolved,False,False,False
8,JEFFERSON PARK LLC,"JEFFERSON PARK REALTY, INC.",600 363 217,791485,"4501 15TH AVE S #103, SEATTLE, WA, 98108, UNITED STATES",Inactive,False,False,False
9,JEFFERSON PARK LLC,JEFFERSON PARKING LOT LLC,604 288 687,1209779,"5027 WAHL RD, BELLINGHAM, WA, 98226-9508, UNITED STATES",Active,False,False,False
10,JEFFERSON PARK LLC,"JEFFERSON PROFESSIONAL PARKING, L.L.C.",602 408 161,767635,"1818 W NORTH FIVE MILE RD, SPOKANE, WA, 99208, UNITED STATES",Inactive,False,False,False
11,MT BAKER VILLAGE LLLP,MT. BAKER VILLAGE CONDOMINIUM ASSOCIATION,604 270 117,1196202,"2916 S MCCLELLAN ST, SEATTLE, WA, 98144-5502, UNITED STATES",Active,True,False,False
12,MT BAKER VILLAGE LLLP,MT. BAKER VILLAGE RESIDENT COUNCIL,603 198 084,843697,"2570 29TH AVE S., APT. 13, SEATTLE, WA, 98144-5416, UNITED STATES",Administratively Dissolved,False,False,False
13,CHE'S CONDOMINIUM LLC,ANCHORS AT MANCHESTER CONDOMINIUM OWNERS ASSOCIATION,602 857 953,544492,"2201 34TH AVE NW, GIG HARBOR, WA, 98335-7706, UNITED STATES",Active,False,False,False
14,CHE'S CONDOMINIUM LLC,CHELAN RESORT SUITES CONDOMINIUM OWNERS ASSOCIATION,602 706 627,74693,"16880 128TH PL NE, WOODINVILLE, WA, 98072-5791, UNITED STATES",Active,False,False,False
15,CHE'S CONDOMINIUM LLC,CHELSEA COURT CONDOMINIUM ASSOCIATION OF APARTMENT OWNERS,601 284 926,100712,"720 S 348TH ST STE A2, FEDERAL WAY, WA, 98003-7851, UNITED STATES",Active,False,False,False
16,CHE'S CONDOMINIUM LLC,"CHELSEA COURT, A SINGLE FAMILY CONDOMINIUM OWNERS ASSOCIATION",602 505 905,615867,"306 84TH AVE NE, LAKE STEVENS, WA, 98258-7380, UNITED STATES",Administratively Dissolved,False,False,False
17,CHE'S CONDOMINIUM LLC,"CHELSEA COURTE, A CONDOMINIUM OWNERS ASSOCIATION",603 061 612,608000,"12439 NE TOTEM LAKE WAY, KIRKLAND, WA, 98034-7513, UNITED STATES",Active,False,False,False
18,CHE'S CONDOMINIUM LLC,CHELSEA MANOR CONDOMINIUM OWNERS ASSOCIATION,602 517 187,609652,"12505 58TH AVE SE, SNOHOMISH, WA, 98296, UNITED STATES",Active,False,False,False
19,CHE'S CONDOMINIUM LLC,CHELSEA PARK CONDOMINIUMS OWNERS ASSOCIATION,602 286 018,610751,"12919 94TH AVE E, PUYALLUP, WA, 98373-5537, UNITED STATES",Active,False,False,False
20,CHE'S CONDOMINIUM LLC,CHELSEA STATION SOUTH CONDOMINIUM ASSOCIATION,602 693 541,74741,"2306 PINE RIDGE DR, GEARHART, OR, 97138, UNITED STATES",Active,False,False,False
