,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,BALLARD APARTMENTS LLC,"BALLARD 63RD APARTMENT, LLC",604 749 406,1451148,"4120 NE SURBER DR, SEATTLE, WA, 98105-5411, UNITED STATES",Active,False,False,False
1,BALLARD APARTMENTS LLC,BALLARD APARTMENT DEVELOPERS LLC,604 994 552,1613035,"310 MADISON AVE S STE A, BAINBRIDGE IS, WA, 98110-2594, UNITED STATES",Active,False,False,False
2,BALLARD APARTMENTS LLC,BALLARD APARTMENTS HOLDINGS LP,603 472 429,560704,"7 GIRALDA FARMS, 3RD FLOOR, MADISON, NJ, 07940, UNITED STATES",Withdrawn,True,False,False
3,BALLARD APARTMENTS LLC,"BALLARD COURT APARTMENTS, LLC",603 104 009,54451,"18682 FJORD DRIVE, POULSBO, WA, 98370, UNITED STATES",Administratively Dissolved,False,False,False
4,BALLARD APARTMENTS LLC,BALLARD COURTYARD APARTMENTS LLC,603 372 886,50703,"2616 NW 59TH ST, SEATTLE, WA, 98107, UNITED STATES",Voluntarily Dissolved,False,False,False
5,BALLARD APARTMENTS LLC,ROBINSON BALLARD APARTMENT LLC,603 152 759,411450,"1748 56TH NW, SEATTLE, WA, 98107, UNITED STATES",Administratively Dissolved,False,False,False
6,BALLARD APARTMENTS LLC,USPF BALLARD APARTMENTS GP LLC,603 493 136,1044565,"7 GIRALDA FARMS, 3RD FLOOR, MADISON, NJ, 07940, UNITED STATES",Withdrawn,True,False,False
7,BALLARD 80 F1 LLC,BALLARD 80 F1 MANAGER LLC,604 922 510,1562612,"2825 EASTLAKE AVE E STE 220, SEATTLE, WA, 98102-3085, UNITED STATES",Active,True,False,False
8,WIN FOREVER LLC,"WIN FOREVER ASSOCIATES, LLC",603 469 040,1088894,"4242 HUNTS POINT RD, HUNTS POINT, WA, 98004-1106, UNITED STATES",Active,True,False,False
9,WIN FOREVER LLC,"WIN FOREVER CONSULTING, LLC",603 469 760,518515,"4242 HUNTS POINT RD, HUNTS POINT, WA, 98004-1106, UNITED STATES",Active,True,False,False
10,WIN FOREVER LLC,"WIN FOREVER HOLDINGS, LLC",603 469 763,524364,"4242 HUNTS POINT RD, HUNTS POINT, WA, 98004-1106, UNITED STATES",Active,True,False,False
11,WIN FOREVER LLC,"WINGS FOR EVERYONE, LLC",604 731 235,1444991,"3916 S RITCHEY RD, MEDICAL LAKE, WA, 99022-8614, UNITED STATES",Administratively Dissolved,False,False,False
12,WC SEATTLE V SPE LLC,"WC SEATTLE IV SPE, LLC",604 309 467,1219388,"2225 CAMPUS DR, EL SEGUNDO, CA, 90245-0001, UNITED STATES",Active,True,False,False
13,WC SEATTLE V SPE LLC,"WC SEATTLE VI SPE, LLC",604 344 396,1237037,"2225 CAMPUS DR, EL SEGUNDO, CA, 90245-0001, UNITED STATES",Active,True,False,False
14,QUEST MINISTRIES,CHRIST QUEST MINISTRIES,603 088 984,613271,"13414 SE 272ND ST, KENT, WA, 98042, UNITED STATES",Administratively Dissolved,False,False,False
15,QUEST MINISTRIES,ELISHA'S REQUEST MINISTRIES,602 171 682,159751,"13883 KLAHANIE LANE SE, OLALLA, WA, 98359, UNITED STATES",Active,False,False,False
