,SearchTerm,BusinessName,UBINumber,BusinessId,Address,Status,address_match,ubi_match,id_match
0,HUDSON STREET LTD PARTNERSHIP,3109 HUDSON STREET LLC,604 200 845,1172636,"251 ELDORADO DR, LONGVIEW, WA, 98632-9369, UNITED STATES",Active,False,False,False
1,HUDSON STREET LTD PARTNERSHIP,3252 SOUTH HUDSON STREET LLC,604 170 639,63163,"4542 S. LUCILE ST, SEATTLE, WA, 98118, UNITED STATES",Active,False,False,False
2,HUDSON STREET LTD PARTNERSHIP,"HUDSON 1099 STEWART STREET, LLC",604 037 980,155001,"11601 WILSHIRE BOULEVARD, NINTH FLOOR, LOS ANGELES, CA, 90025, UNITED STATES",Active,False,False,False
3,HUDSON STREET LTD PARTNERSHIP,HUDSON STREET INVESTMENTS LLC,602 385 818,238635,"88 S HUDSON ST, SEATTLE, WA, 98134-2421, UNITED STATES",Active,False,False,False
4,HUDSON STREET LTD PARTNERSHIP,HUDSON STREET LLC,602 029 537,155062,"5005 3RD AVE S, SEATTLE, WA, 98134, UNITED STATES",Active,False,False,False
5,HUDSON STREET LTD PARTNERSHIP,"HUDSON STREET MANAGER, LLC",602 634 552,748555,"5005 3RD AVE S, SEATTLE, WA, 98134-2423, UNITED STATES",Active,False,False,False
6,HUDSON STREET LTD PARTNERSHIP,"HUDSON STREET PROPERTIES, LTD.",601 845 359,741643,,Inactive,False,False,False
7,HUDSON STREET LTD PARTNERSHIP,"HUDSON STREET SPE, LLC",602 634 550,733107,"5005 3RD AVE S, PO BOX 24567, SEATTLE, WA, 98124, UNITED STATES",Active,False,False,False
8,JPPF HPC L P,"JPPF HPC GP, LLC",604 800 670,1490927,"675 PONCE DE LEON AVE NE FL 7, ATLANTA, GA, 30308-1884, UNITED STATES",Active,True,False,False
9,JPPF HPC L P,"JPPF HPC, L.P.",604 806 425,1490951,"675 PONCE DE LEON AVE NE FL 7, ATLANTA, GA, 30308-1884, UNITED STATES",Active,True,False,False
10,SEATTLE LABOR TEMPLE ASSOCIATION INC,"THE SEATTLE LABOR TEMPLE ASSOCIATION, INC.",601 114 372,1039947,"21400 INTERNATIONAL BLVD, STE 205, SEATAC, WA, 98198-6086, UNITED STATES",Active,False,False,False
11,SPIRE 1550 4TH AVE LP,SPIRE 1550 4TH AVENUE LP,603 606 900,996291,"600 UNIVERSITY ST, SUITE 2310, SEATTLE, WA, 98101-4112, UNITED STATES",Active,False,False,False
12,TLC PROPERTIES INC,TLC ESTATE PROPERTIES LLC,602 871 036,1046735,"1815 121ST AVE SE, BELLEVUE, WA, 98005, UNITED STATES",Active,False,False,False
13,TLC PROPERTIES INC,"TLC PROPERTIES NW, LLC",602 827 659,485340,"5612 W REGINA LN, SPOKANE, WA, 99208-7803, UNITED STATES",Active,False,False,False
14,TLC PROPERTIES INC,"TLC PROPERTIES, INC.",601 875 242,1013638,,,True,True,True
15,TLC PROPERTIES INC,"TLC PROPERTIES, LLC",601 875 242,1013638,"5321 CORPORATE BLVD, BATON ROUGE, LA, 70808-2506, UNITED STATES",Active,False,True,True
16,TLC PROPERTIES INC,"TLC PROPERTIES-USA, LLC",601 919 510,1013639,,Terminated,True,False,False
17,HARBOR REAL ESTATE INVESTMENTS,"HARBOR REAL ESTATE INVESTMENTS, INC.",601 424 758,215326,"1131 SW KLICKITAT WAY, ATTN: CANDICE M. WOODS, SEATTLE, WA, 98134-1108, UNITED STATES",Active,False,False,False
18,PORT OF SEATTLE,"AN F. IMPORTS OF SEATTLE, INC.",603 089 170,31664,"200 SW 1ST AVE 14TH FL, FORT LAUDERDALE, FL, 33301, UNITED STATES",Terminated,False,False,False
19,PORT OF SEATTLE,"AN IMPORTS OF SEATTLE, INC.",603 018 880,550308,"200 SW 1ST AVE, FT LAUDERDALE, FL, 33301, UNITED STATES",Active,False,False,False
20,PORT OF SEATTLE,INDO-AMERICAN  SPORTS CLUB OF SEATTLE,604 788 866,1480407,"11804 SE 218TH PL, KENT, WA, 98031-9697, UNITED STATES",Active,False,False,False
21,PORT OF SEATTLE,PORT OF SEATTLE FIREFIGHTERS DIVERSITY ASSOCIATION,603 078 895,380540,"2400 S 170TH ST, SEATAC, WA, 98158-1112, UNITED STATES",Administratively Dissolved,False,False,False
22,PORT OF SEATTLE,PORTABLE POWER OF SEATTLE INC.,604 574 427,1337669,,Administratively Dissolved,False,False,False
23,PORT OF SEATTLE,"PROPELLER CLUB OF THE UNITED STATES, PORT OF SEATTLE",604 755 313,1454550,"100 W HARRISON ST STE S560, SEATTLE, WA, 98119-4162, UNITED STATES",Active,False,False,False
24,PORT OF SEATTLE,"THE NATIONAL MANAGEMENT ASSOCIATION, PORT OF SEATTLE CHAPTER",601 490 891,1020015,"2711 ALASKAN WAY, SEATTLE, WA, 98121-1107, UNITED STATES",Active,False,False,False
25,PORT OF SEATTLE,THE PORT OF SEATTLE POLICE DEPARTMENT BENEVOLENT ASSOCIATION,601 157 844,475055,"17801 PACIFIC HWY S, SEATAC, WA, 98158-1202, UNITED STATES",Delinquent,False,False,False
26,PORT OF SEATTLE,THE TRANSPORTATION CLUB OF SEATTLE,601 132 929,477237,"15008 88TH ST E, PUYALLUP, WA, 98372-4470, UNITED STATES",Active,False,False,False
27,PORT OF SEATTLE,UNITED PORT MINISTRIES OF SEATTLE,602 358 265,1060005,"3568 W MARGINAL WAY SW, SEATTLE, WA, 98106, UNITED STATES",Administratively Dissolved,False,False,False
